read query  1734ticks
run query  175ticks
read query  1733ticks
run query  175ticks
read query  450ticks
run query  181ticks
read query  426ticks
run query  178ticks
read query  450ticks
run query  181ticks
read query  412ticks
run query  179ticks
read query  449ticks
run query  177ticks
read query  414ticks
run query  183ticks
read query  412ticks
run query  178ticks
read query  460ticks
run query  178ticks
read query  450ticks
run query  175ticks
read query  423ticks
run query  183ticks
read query  478ticks
run query  370ticks
read query  476ticks
run query  206ticks
read query  467ticks
run query  185ticks


r1 497ticks
r2 476ticks
r2 452ticks
r2 447ticks
r1 492ticks
r1 458ticks
r3 36ticks
r3 31ticks
r3 33ticks
r4 36ticks
r4 36ticks
r4 35ticks
r4 30ticks
r4 486ticks

captures  101ticks
while remove by one  1067 60ticks
replace  87ticks
captures  98ticks
while remove by one  1065 46ticks
replace  85ticks
replace  10756ticks

read query  66ticks
run query  206ticks
read query  64ticks
run query  162ticks
read query  58ticks
run query  167ticks


 optional filter

read query  57ticks
run query  162ticks
read query  58ticks
run query  159ticks
read query  53ticks
run query  0ticks
read query  7ticks
run query  0ticks

read query  569869ticks
run query  1613093ticks
read query  58,5805ms
run query  163,9727ms

standart data
read query  56,3185ms
run query  1499,0603ms
read query  54,0677ms
run query  112,3115ms
read query  54,6647ms
run query  106,1297ms
read query  57,7906ms
run query  109,7557ms
read query  909,2498ms
run query  1697,3955ms
read query  54,2489ms
run query  107,341ms
read query  54,2101ms
run query  107,3068ms
read query  81,8233ms
run query  128,0876ms
read query  2,5725ms
run query  52,3397ms
read query  2,0367ms
run query  48,7346ms
read query  2,1888ms
run query  47,4994ms
read query  57,0477ms
run query  106,2827ms
read query  1,9704ms
run query  46,8256ms
read query  2,0354ms
run query  49,2892ms
read query  2,0898ms
run query  47,6625ms
read query  69,1411ms
run query  116,5035ms
read query  2,7427ms
run query  52,8193ms
read query  2,0576ms
run query  47,7515ms
read query  2,0722ms
run query  45,381ms
read query  51,6801ms
run query  72,0196ms
read query  0,622ms
run query  12,5916ms
read query  0,5444ms
run query  14,4987ms
read query  0,5768ms
run query  13,2205ms
read query  53,5373ms
run query  81,6834ms
read query  0,6758ms
run query  16,3316ms
read query  0,6827ms
run query  15,8872ms
read query  0,5911ms
run query  15,1991ms
read query  57,6328ms
run query  88,25ms
read query  0,5822ms
run query  14,7375ms
read query  0,5806ms
run query  15,6706ms
read query  0,5794ms
run query  16,7424ms
read query  50,3667ms
run query  75,0583ms
read query  0,6633ms
run query  13,6491ms
read query  0,5577ms
run query  13,5402ms
read query  0,5745ms
run query  15,8267ms
compiled 7,4077ms
read query  49,6768ms
run query  71,9938ms
read query  0,5475ms
run query  14,8955ms
read query  0,6597ms
run query  15,7237ms
read query  0,5909ms
run query  13,57ms
created 0,3013ms
read query  52,5382ms
run query  79,042ms
read query  0,597ms
run query  14,3398ms
read query  0,6651ms
run query  14,29ms
read query  0,585ms
run query  15,407ms
created 0,2967ms
created 0,0043ms
created 0,0028ms
created 0,0079ms
created 0,0043ms
created 0,004ms
created 0,0033ms
created 0,0099ms
created 0,0038ms
